/opt/conda/envs/aigc/lib/python3.9/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/opt/conda/envs/aigc/lib/python3.9/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG16_Weights.IMAGENET1K_V1`. You can also use `weights=VGG16_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
/opt/conda/envs/aigc/lib/python3.9/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='sum' instead.
  warnings.warn(warning.format(ret))
epoch 0, processed 0 samples, lr 0.0000001000
Epoch: [3][780/1445]	Time 0.328 (0.319)	Data 0.004 (0.004)	Loss 1.0352 (5.3392)	
Epoch: [3][810/1445]	Time 0.328 (0.319)	Data 0.007 (0.004)	Loss 2.5377 (5.2389)	
Epoch: [3][840/1445]	Time 0.325 (0.319)	Data 0.004 (0.004)	Loss 0.9896 (5.2553)	
Epoch: [3][870/1445]	Time 0.325 (0.320)	Data 0.004 (0.004)	Loss 4.0602 (5.1774)	
Epoch: [3][900/1445]	Time 0.319 (0.320)	Data 0.004 (0.004)	Loss 1.3684 (5.1083)	
Epoch: [3][930/1445]	Time 0.323 (0.320)	Data 0.003 (0.004)	Loss 0.7919 (5.0867)	
Epoch: [3][960/1445]	Time 0.329 (0.320)	Data 0.004 (0.004)	Loss 1.2108 (5.0391)	
Epoch: [3][990/1445]	Time 0.321 (0.320)	Data 0.003 (0.004)	Loss 9.0603 (4.9859)	
Epoch: [3][1020/1445]	Time 0.322 (0.320)	Data 0.004 (0.004)	Loss 0.9905 (4.9354)	
Epoch: [3][1050/1445]	Time 0.327 (0.320)	Data 0.003 (0.004)	Loss 1.2540 (4.9973)	
Epoch: [3][1080/1445]	Time 0.325 (0.320)	Data 0.003 (0.004)	Loss 61.6083 (4.9915)	
Epoch: [3][1110/1445]	Time 0.325 (0.320)	Data 0.004 (0.004)	Loss 6.5542 (4.9319)	
Epoch: [3][1140/1445]	Time 0.324 (0.320)	Data 0.004 (0.004)	Loss 3.3114 (4.8731)	
Epoch: [3][1170/1445]	Time 0.324 (0.320)	Data 0.004 (0.004)	Loss 1.9239 (4.9211)	
Epoch: [3][1200/1445]	Time 0.323 (0.321)	Data 0.004 (0.004)	Loss 4.6780 (4.9391)	
Epoch: [3][1230/1445]	Time 0.324 (0.321)	Data 0.004 (0.004)	Loss 1.2425 (4.9262)	
